lien,titre,prix,image,id
https://www.zara.com/ca/fr/veste-rembourree-100-plumes-deperlante-p03411510.html,"VESTE REMBOURRÉE 100% PLUMES DÉPERLANTE

+4

$ 219,00","$ 219,00",https://static.zara.net/assets/public/e154/3a98/71884ddeadce/7699a8e0b01a/03411510800-e1/03411510800-e1.jpg?ts=1758101829074&w=327,462627330
https://www.zara.com/ca/fr/sweat-a-capuche-basique-p00761370.html,"SWEAT À CAPUCHE BASIQUE

+7

$ 59,90","$ 59,90",https://static.zara.net/assets/public/0363/18a9/60e149328a0b/634299cd4403/00761370800-000-e1/00761370800-000-e1.jpg?ts=1754985838610&w=327,456207827
https://www.zara.com/ca/fr/veste-de-costume-confort-p01564300.html,"VESTE DE COSTUME CONFORT

+3

$ 149,00","$ 149,00",https://static.zara.net/assets/public/d626/4ac1/8edb4f75a864/554ce189f5f9/04336999800-e1/04336999800-e1.jpg?ts=1753719375994&w=327,455907506
https://www.zara.com/ca/fr/pantalon-coupe-decontractee-a-plis-p00706950.html,"PANTALON COUPE DÉCONTRACTÉE À PLIS

+3

$ 79,90","$ 79,90",https://static.zara.net/assets/public/9cce/c681/3dee48b48083/54de5a3c155e/00706950802-e1/00706950802-e1.jpg?ts=1755591761067&w=327,471102513
https://www.zara.com/ca/fr/doudoune-sans-manches-100%C2%A0-plumes-p03411910.html,"DOUDOUNE SANS MANCHES 100 % PLUMES
$ 129,00","$ 129,00",https://static.zara.net/assets/public/882f/dadf/b8ca4527acd1/10649dba8e8f/03411910800-e1/03411910800-e1.jpg?ts=1759747304555&w=327,492933985
https://www.zara.com/ca/fr/veste-matelassee-100-plumes-deperlante-p03411510.html,"VESTE MATELASSÉE 100% PLUMES DÉPERLANTE

+4

$ 219,00","$ 219,00",https://static.zara.net/assets/public/916e/b70a/da084e84bc14/19b8a0a4e502/03411510446-e1/03411510446-e1.jpg?ts=1759143782434&w=327,462627327
https://www.zara.com/ca/fr/sweat-col-zippe-basique-p00761311.html,"SWEAT COL ZIPPÉ BASIQUE

+5

$ 65,90","$ 65,90",https://static.zara.net/assets/public/8734/5394/72214c0f9ed8/47f054512dc0/00761311800-000-e1/00761311800-000-e1.jpg?ts=1754985838205&w=327,458120098
https://www.zara.com/ca/fr/manteau-croise-avec-laine-p05854304.html,"MANTEAU CROISÉ AVEC LAINE
$ 269,00","$ 269,00",https://static.zara.net/assets/public/4ebb/e827/87da431d911b/d7c4b04d678d/05854304803-e1/05854304803-e1.jpg?ts=1760611400965&w=327,477250156
https://www.zara.com/ca/fr/blazer-de-costume-avec-laine-p05746557.html,"BLAZER DE COSTUME AVEC LAINE
$ 199,00","$ 199,00",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,480539358
https://www.zara.com/ca/fr/doudoune-sans-manches-matelassee-regular-fit-p00029440.html,"DOUDOUNE SANS MANCHES MATELASSÉE REGULAR FIT

+1

$ 69,90","$ 69,90",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,456841377
https://www.zara.com/ca/fr/pantalon-de-jogging-coupe-ample-p00761440.html,"PANTALON DE JOGGING COUPE AMPLE

+4

$ 55,90","$ 55,90",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,463515966
https://www.zara.com/ca/fr/manteau-col-amovible-p05827373.html,"MANTEAU COL AMOVIBLE
$ 219,00","$ 219,00",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,463860742
https://www.zara.com/ca/fr/manteau-croise-avec-laine-et-ceinture-p02949150.html,"MANTEAU CROISÉ AVEC LAINE ET CEINTURE

+1

$ 199,00","$ 199,00",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,466337581
https://www.zara.com/ca/fr/veste-rembourree-a-capuche-p06985400.html,"VESTE REMBOURRÉE À CAPUCHE
$ 149,00","$ 149,00",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,471303211
https://www.zara.com/ca/fr/pull-en-maille-perlee-p03284331.html,"PULL EN MAILLE PERLÉE

+5

$ 65,90","$ 65,90",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,467675730
https://www.zara.com/ca/fr/jean-baggy-fit-p04048400.html,"JEAN BAGGY FIT

+5

$ 69,90","$ 69,90",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,452708250
https://www.zara.com/ca/fr/jean-super-baggy-fit-p04806330.html,"JEAN SUPER BAGGY FIT

+3

$ 69,90","$ 69,90",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,464761162
https://www.zara.com/ca/fr/pantalon-de-costume-confort-p01564301.html,"PANTALON DE COSTUME CONFORT

+3

$ 69,90","$ 69,90",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,455907518
https://www.zara.com/ca/fr/sweat-polo-col-contraste-p00526310.html,"SWEAT POLO COL CONTRASTÉ

+5

$ 65,90","$ 65,90",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,461890050
https://www.zara.com/ca/fr/veste-courte-coupe-ajustee-avec-brandebourgs-metalliques-p06987368.html,"VESTE COURTE COUPE AJUSTÉE AVEC BRANDEBOURGS MÉTALLIQUES
$ 129,00","$ 129,00",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,477327167
https://www.zara.com/ca/fr/blouson-en-matiere-synthetique-p00155150.html,"BLOUSON EN MATIÈRE SYNTHÈTIQUE

+1

$ 129,00","$ 129,00",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,464664816
https://www.zara.com/ca/fr/veste-rembourree-boxy-fit-deperlante-p00732312.html,"VESTE REMBOURRÉE BOXY FIT DÉPERLANTE

+1

$ 129,00","$ 129,00",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,471875259
https://www.zara.com/ca/fr/jean-coupe-decontractee-p03991395.html,"JEAN COUPE DÉCONTRACTÉE
$ 99,90","$ 99,90",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,462389367
https://www.zara.com/ca/fr/polo-en-maille-laine---cachemire-p02893321.html,"POLO EN MAILLE LAINE - CACHEMIRE

+2

$ 79,90","$ 79,90",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,461108854
https://www.zara.com/ca/fr/jean-flare-fit-p00840353.html,"JEAN FLARE FIT

+4

$ 79,90","$ 79,90",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,479639276
https://www.zara.com/ca/fr/jean-balloon-fit-couture-retournee-p06045321.html,"JEAN BALLOON FIT COUTURE RETOURNÉE
$ 79,90","$ 79,90",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,463253446
https://www.zara.com/ca/fr/pull-structure-chenille-p05755320.html,"PULL STRUCTURÉ CHENILLE

+2

$ 65,90","$ 65,90",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,459402715
https://www.zara.com/ca/fr/blouson-bomber-matiere-synthetique-p04027400.html,"BLOUSON BOMBER MATIÈRE SYNTHÉTIQUE

+1

$ 89,90","$ 89,90",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,452739722
https://www.zara.com/ca/fr/veste-matelassee-legere-deperlante-p04302208.html,"VESTE MATELASSÉE LÉGÈRE DÉPERLANTE

+1

$ 89,90","$ 89,90",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,458848076
https://www.zara.com/ca/fr/blazer-de-costume-slim-fit-p04425254.html,"BLAZER DE COSTUME SLIM FIT

+3

$ 149,00","$ 149,00",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,455907545
https://www.zara.com/ca/fr/blouson-bomber-bimatiere-p05070321.html,"BLOUSON BOMBER BIMATIÈRE

+1

$ 149,00","$ 149,00",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,463356413
https://www.zara.com/ca/fr/blouson-effet-fourrure-a-capuche-p00993700.html,"BLOUSON EFFET FOURRURE À CAPUCHE

+1

$ 149,00","$ 149,00",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,479082549
https://www.zara.com/ca/fr/blazer-cuir-p05388240.html,"BLAZER CUIR
$ 219,00","$ 219,00",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,477256754
https://www.zara.com/ca/fr/trench-oversize-avec-laine-p08281551.html,"TRENCH OVERSIZE AVEC LAINE
$ 219,00","$ 219,00",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,472162294
https://www.zara.com/ca/fr/veste-de-motard-en-cuir-p05388700.html,"VESTE DE MOTARD EN CUIR
$ 219,00","$ 219,00",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,463145156
https://www.zara.com/ca/fr/jean-straight-fit-p08062410.html,"JEAN STRAIGHT FIT

+4

$ 69,90","$ 69,90",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,452701726
https://www.zara.com/ca/fr/veste-de-motard-matiere-synthetique-p08491420.html,"VESTE DE MOTARD MATIÈRE SYNTHÉTIQUE
$ 99,90","$ 99,90",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,458766470
https://www.zara.com/ca/fr/veste-matelassee-coupe-relaxed-fit-p03918415.html,"VESTE MATELASSÉE COUPE RELAXED FIT
$ 99,90","$ 99,90",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,462544782
https://www.zara.com/ca/fr/veste-en-drap-fermeture-eclair-p03286200.html,"VESTE EN DRAP FERMETURE ÉCLAIR

+2

$ 99,90","$ 99,90",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,458855102
https://www.zara.com/ca/fr/pull-en-maille-perlee-zippe-p03332300.html,"PULL EN MAILLE PERLÉE ZIPPÉ

+2

$ 79,90","$ 79,90",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,452717416
https://www.zara.com/ca/fr/pantalon-fluide-plis-p00706662.html,"PANTALON FLUIDE PLIS

+2

$ 79,90","$ 79,90",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,465261208
https://www.zara.com/ca/fr/pantalon-de-costume-avec-laine-p05747557.html,"PANTALON DE COSTUME AVEC LAINE
$ 79,90","$ 79,90",https://static.zara.net/stdstatic/7.12.1/images/transparent-background.png,480539361
